Date,Close,High,Low,Open,Symbol,Matched_Value,Matched_Volume,Put_through_Volume,Put_through_Value,Percentage_Change
2005-07-14,100.0,100.0,100.0,,HASTC,119996.0,9000,0,0.0,
2005-07-18,99.48,99.48,99.48,100.0,HASTC,156735.0,9750,0,0.0,-0.005199999999999982
2005-07-20,95.57,95.57,95.57,99.48,HASTC,165255.0,9560,0,0.0,-0.03930438279051074
2005-07-22,97.46,97.46,97.46,95.57,HASTC,112754.0,8250,0,0.0,0.019776080359945603
2005-07-25,96.51,96.51,96.51,97.46,HASTC,267794.0,20040,0,0.0,-0.009747588754360659
2005-07-27,98.0,98.0,98.0,96.51,HASTC,179309.0,14890,0,0.0,0.015438814630608144
2005-07-29,99.2,99.2,99.2,98.0,HASTC,443176.0,27150,0,0.0,0.012244897959183598
2005-08-01,108.17,108.17,108.17,99.2,HASTC,68677.0,4080,0,0.0,0.09042338709677411
2005-08-03,101.24,101.24,101.24,108.17,HASTC,98320.0,6320,0,0.0,-0.06406582231672375
2005-08-05,102.63,102.63,102.63,101.24,HASTC,262288.0,18700,0,0.0,0.013729751086527076
2005-08-08,102.35,102.35,102.35,102.63,HASTC,109331.0,7610,0,0.0,-0.0027282471012374243
2005-08-10,99.51,99.51,99.51,102.35,HASTC,257026.0,16210,0,0.0,-0.027747923790913398
2005-08-12,99.56,99.56,99.56,99.51,HASTC,356394.0,16110,0,0.0,0.0005024620641140842
2005-08-15,98.88,98.88,98.88,99.56,HASTC,314036.0,19250,0,0.0,-0.0068300522298112565
2005-08-17,102.54,102.54,102.54,98.88,HASTC,277746.0,12390,0,0.0,0.03701456310679618
2005-08-19,101.67,101.67,101.67,102.54,HASTC,155533.0,9790,0,0.0,-0.008484493856056208
2005-08-22,98.39,98.39,98.39,101.67,HASTC,194813.0,11730,0,0.0,-0.032261237336480786
2005-08-24,101.83,101.83,101.83,98.39,HASTC,56372.0,4190,0,0.0,0.0349629027340177
2005-08-26,100.61,100.61,100.61,101.83,HASTC,275172.0,12230,0,0.0,-0.011980752234115655
2005-08-29,99.91,99.91,99.91,100.61,HASTC,115120.0,6120,0,0.0,-0.006957558890766324
2005-08-31,98.6,98.6,98.6,99.91,HASTC,425622.0,22530,0,0.0,-0.0131118006205585
2005-09-05,97.97,97.97,97.97,98.6,HASTC,126284.0,8920,0,0.0,-0.006389452332657197
2005-09-07,99.24,99.24,99.24,97.97,HASTC,432266.0,22310,0,0.0,0.012963151985301513
2005-09-09,100.5,100.5,100.5,99.24,HASTC,100418.0,6590,0,0.0,0.012696493349455995
2005-09-12,109.04,109.04,109.04,100.5,HASTC,118932.0,8450,0,0.0,0.08497512437810961
2005-09-14,100.34,100.34,100.34,109.04,HASTC,68439.0,4350,0,0.0,-0.07978723404255317
2005-09-16,100.3,100.3,100.3,100.34,HASTC,330674.0,21980,0,0.0,-0.0003986446083317219
2005-09-19,101.63,101.63,101.63,100.3,HASTC,470445.0,27580,0,0.0,0.013260219341973967
2005-09-21,101.44,101.44,101.44,101.63,HASTC,916991.0,53960,0,0.0,-0.0018695267145527605
2005-09-23,100.02,100.02,100.02,101.44,HASTC,610600.0,34550,0,0.0,-0.013998422712933722
2005-09-26,99.86,99.86,99.86,100.02,HASTC,354147.0,19770,0,0.0,-0.0015996800639871411
2005-09-28,98.44,98.44,98.44,99.86,HASTC,122756.0,7660,0,0.0,-0.014219907871019455
2005-09-30,99.06,99.06,99.06,98.44,HASTC,956772.0,55220,0,0.0,0.006298252742787502
2005-10-03,90.39,90.39,90.39,99.06,HASTC,824028.0,47550,0,0.0,-0.0875227135069655
2005-10-05,98.22,98.22,98.22,90.39,HASTC,263063.0,13990,0,0.0,0.08662462661798864
2005-10-07,99.5,99.5,99.5,98.22,HASTC,433297.0,25880,0,0.0,0.013031969049073444
2005-10-10,98.33,98.33,98.33,99.5,HASTC,469817.0,27430,0,0.0,-0.011758793969849246
2005-10-12,96.92,96.92,96.92,98.33,HASTC,162921.0,9550,0,0.0,-0.014339469134546867
2005-10-14,97.95,97.95,97.95,96.92,HASTC,345841.0,17170,0,0.0,0.01062732150226986
2005-10-17,99.26,99.26,99.26,97.95,HASTC,605806.0,35260,0,0.0,0.013374170495150661
2005-10-19,98.89,98.89,98.89,99.26,HASTC,503081.0,30950,0,0.0,-0.003727584122506622
2005-10-21,98.73,98.73,98.73,98.89,HASTC,580741.0,35380,0,0.0,-0.0016179593487712918
2005-10-24,98.73,98.73,98.73,98.73,HASTC,214025.0,13560,0,0.0,0.0
2005-10-26,97.05,97.05,97.05,98.73,HASTC,611877.0,36550,0,0.0,-0.017016104527499354
2005-10-28,98.24,98.24,98.24,97.05,HASTC,505240.0,32530,0,0.0,0.012261720762493544
2005-10-31,98.88,98.88,98.88,98.24,HASTC,539812.0,31810,0,0.0,0.006514657980456029
2005-11-02,99.01,99.01,99.01,98.88,HASTC,28968358.0,18150,0,0.0,0.0013147249190939014
2005-11-04,98.43,98.43,98.43,99.01,HASTC,43045403.0,9850,0,0.0,-0.005857994142005829
2005-11-07,98.46,98.46,98.46,98.43,HASTC,367683286.0,32070,0,0.0,0.0003047851264856849
2005-11-09,97.66,97.66,97.66,98.46,HASTC,3308926.0,23550,0,0.0,-0.008125126955108697
2005-11-11,97.66,97.66,97.66,97.66,HASTC,6105245.0,17030,0,0.0,0.0
2005-11-14,97.72,97.72,97.72,97.66,HASTC,4639914.0,18700,0,0.0,0.0006143764079460379
2005-11-16,97.73,97.73,97.73,97.72,HASTC,53417257.0,37290,0,0.0,0.0001023331968890151
2005-11-18,96.45,96.45,96.45,97.73,HASTC,4428759.0,10370,0,0.0,-0.013097308912309424
2005-11-21,96.42,96.42,96.42,96.45,HASTC,127614510.0,7390,0,0.0,-0.00031104199066878113
2005-11-23,96.42,96.42,96.42,96.42,HASTC,207284.0,13400,0,0.0,0.0
2005-11-25,96.34,96.34,96.34,96.42,HASTC,211763.0,14770,0,0.0,-0.0008297033810412691
2005-11-28,96.32,96.32,96.32,96.34,HASTC,1631697.0,18430,0,0.0,-0.00020759809009762709
