,Exchange,Symbol,IPO_Date,Delisting_Date,Status,Sector
0,HASTC,SGH,2005-07-14,,Active,Service
1,HASTC,BPC,2005-07-14,,Active,Materials
2,HASTC,PMS,2005-07-14,,Active,Industrials
3,HASTC,VTC,2005-07-14,,Active,Technology
4,HASTC,DPC,2005-07-14,,Active,Real Estate and Construction
5,HASTC,CAN,2005-07-14,,Active,Consumer Goods
6,HASTC,VTL,2005-07-14,,Active,Consumer Goods
7,HASTC,GHA,2005-07-14,2011-08-23,Delisted,Materials
8,HASTC,HSC,2005-07-14,2009-12-14,Delisted,Service
9,HASTC,NHC,2005-12-16,,Active,Real Estate and Construction
10,HASTC,DXP,2005-12-26,,Active,Industrials
11,HASTC,BBS,2005-12-28,,Active,Materials
12,HASTC,VNR,2006-03-13,,Active,Finance
13,HASTC,RHC,2006-06-15,2013-12-10,Delisted,Energy
14,HASTC,TKU,2006-06-26,,Active,Real Estate and Construction
15,HASTC,UNI,2006-07-03,,Active,Technology
16,HASTC,TTC,2006-08-08,,Active,Real Estate and Construction
17,HASTC,SGC,2006-09-05,,Active,Consumer Goods
18,HASTC,VTS,2006-09-20,,Active,Real Estate and Construction
19,HASTC,STP,2006-10-09,,Active,Materials
20,HASTC,CTB,2006-10-10,,Active,Industrials
21,HASTC,ALT,2006-11-22,,Active,Service
22,HASTC,BCC,2006-11-27,,Active,Real Estate and Construction
23,HASTC,PTS,2006-12-01,,Active,Energy
24,HASTC,DHI,2006-12-06,2013-10-24,Delisted,Service
25,HASTC,BTS,2006-12-06,,Active,Real Estate and Construction
26,HASTC,VMC,2006-12-11,,Active,Real Estate and Construction
27,HASTC,VC2,2006-12-11,,Active,Real Estate and Construction
28,HASTC,NTP,2006-12-11,,Active,Real Estate and Construction
29,HASTC,CMC,2006-12-11,,Active,Industrials
30,HASTC,TXM,2006-12-11,,Active,Real Estate and Construction
31,HASTC,SDT,2006-12-14,,Active,Real Estate and Construction
32,HASTC,SJE,2006-12-14,,Active,Real Estate and Construction
33,HASTC,HTP,2006-12-14,,Active,Service
34,HASTC,NLC,2006-12-14,2014-11-26,Delisted,Energy
35,HASTC,CJC,2006-12-14,,Active,Industrials
36,HASTC,HPC,2006-12-15,2015-11-16,Delisted,Finance
37,HASTC,TPH,2006-12-15,,Active,Service
38,HASTC,VTV,2006-12-18,,Active,Real Estate and Construction
39,HASTC,BVS,2006-12-18,,Active,Finance
40,HASTC,SD9,2006-12-20,,Active,Real Estate and Construction
41,HASTC,HJS,2006-12-20,,Active,Energy
42,HASTC,S91,2006-12-20,2014-01-06,Delisted,Real Estate and Construction
43,HASTC,POT,2006-12-20,,Active,Technology
44,HASTC,VNC,2006-12-21,,Active,Service
45,HASTC,VGP,2006-12-21,,Active,Industrials
46,HASTC,SDA,2006-12-21,,Active,Service
47,HASTC,MCO,2006-12-21,,Active,Real Estate and Construction
48,HASTC,EBS,2006-12-21,,Active,Service
49,HASTC,S55,2006-12-22,,Active,Real Estate and Construction
50,HASTC,S99,2006-12-22,,Active,Real Estate and Construction
51,HASTC,SNG,2006-12-25,2014-10-17,Delisted,Real Estate and Construction
52,HASTC,HLY,2006-12-25,,Active,Real Estate and Construction
53,HASTC,S64,2006-12-25,2012-07-12,Delisted,Real Estate and Construction
54,HASTC,HPS,2006-12-25,2016-05-27,Delisted,Real Estate and Construction
55,HASTC,SDN,2006-12-25,,Active,Materials
56,HASTC,SD6,2006-12-25,,Active,Real Estate and Construction
57,HASTC,PJC,2006-12-25,,Active,Energy
58,HASTC,SDC,2006-12-25,,Active,Real Estate and Construction
59,HASTC,TMC,2006-12-26,,Active,Service
60,HASTC,SD5,2006-12-27,,Active,Real Estate and Construction
61,HASTC,NBC,2006-12-27,,Active,Energy
62,HASTC,STC,2006-12-27,,Active,Service
63,HASTC,HNM,2006-12-27,2020-06-11,Delisted,Consumer Goods
64,HASTC,PLC,2006-12-27,,Active,Materials
65,HASTC,SIC,2006-12-27,,Active,Real Estate and Construction
66,HASTC,DAE,2006-12-28,,Active,Service
67,HASTC,SFN,2006-12-28,,Active,Agriculture
68,HASTC,SAF,2006-12-28,,Active,Consumer Goods
69,HASTC,TLC,2006-12-28,2013-05-16,Delisted,Technology
70,HASTC,SGD,2006-12-28,,Active,Service
71,HASTC,YSC,2006-12-29,2011-08-23,Delisted,Materials
72,HASTC,PSC,2006-12-29,,Active,Energy
73,HASTC,NST,2006-12-29,,Active,Consumer Goods
74,HASTC,SJ1,2006-12-29,,Active,Agriculture
75,HASTC,CIC,2006-12-29,2013-08-13,Delisted,Real Estate and Construction
76,HASTC,SD2,2007-03-12,,Active,Real Estate and Construction
77,HASTC,RCL,2007-06-14,,Active,Real Estate and Construction
78,HASTC,PVI,2007-08-10,,Active,Service
79,HASTC,SSS,2007-08-28,2012-07-12,Delisted,Real Estate and Construction
80,HASTC,PVS,2007-09-20,,Active,Energy
81,HASTC,DST,2007-10-16,,Active,Service
82,HASTC,PGS,2007-11-15,,Active,Energy
83,HASTC,PVC,2007-11-15,,Active,Materials
84,HASTC,C92,2007-11-19,,Active,Real Estate and Construction
85,HASTC,HHC,2007-11-20,,Active,Consumer Goods
86,HASTC,SJC,2007-11-21,,Active,Real Estate and Construction
87,HASTC,TNG,2007-11-22,,Active,Consumer Goods
88,HASTC,HCT,2007-11-27,,Active,Industrials
89,HASTC,VDL,2007-11-27,,Active,Consumer Goods
90,HASTC,HEV,2007-12-11,,Active,Service
91,HASTC,VC3,2007-12-13,,Active,Real Estate and Construction
92,HASTC,TST,2007-12-13,,Active,Technology
93,HASTC,KMF,2007-12-14,2009-12-22,Delisted,
94,HASTC,VCS,2007-12-17,,Active,Real Estate and Construction
95,HASTC,TJC,2007-12-17,,Active,Industrials
96,HASTC,HCC,2007-12-24,,Active,Real Estate and Construction
97,HASTC,VC7,2007-12-28,,Active,Real Estate and Construction
98,HASTC,LUT,2008-01-04,,Active,Real Estate and Construction
99,HASTC,CAP,2008-01-09,,Active,Agriculture
100,HASTC,SRA,2008-01-18,,Active,Technology
101,HASTC,NVC,2008-01-24,2014-05-23,Delisted,Real Estate and Construction
102,HASTC,KLS,2008-01-28,2016-07-20,Delisted,Finance
103,HASTC,VC6,2008-01-28,,Active,Real Estate and Construction
104,HASTC,HBE,2008-02-22,,Active,Service
105,HASTC,LBE,2008-02-22,,Active,Service
106,HASTC,NGC,2008-03-06,,Active,Agriculture
107,HASTC,HUT,2008-04-11,,Active,Real Estate and Construction
108,HASTC,L62,2008-04-21,,Active,Real Estate and Construction
109,HASTC,L18,2008-04-23,,Active,Real Estate and Construction
110,HASTC,BLF,2008-06-02,,Active,Agriculture
111,HASTC,L43,2008-06-11,,Active,Real Estate and Construction
112,HASTC,SD4,2008-06-25,,Active,Real Estate and Construction
113,HASTC,ONE,2008-06-25,,Active,Technology
114,HASTC,TC6,2008-06-26,,Active,Energy
115,HASTC,CTC,2008-07-18,,Active,Service
116,HASTC,TV4,2008-07-22,,Active,Real Estate and Construction
117,HASTC,SDS,2008-07-23,2012-09-13,Delisted,Real Estate and Construction
118,HASTC,KKC,2008-08-21,,Active,Real Estate and Construction
119,HASTC,VE1,2008-09-04,,Active,Real Estate and Construction
120,HASTC,TPP,2008-09-26,,Active,Materials
121,HASTC,THT,2008-10-24,,Active,Energy
122,HASTC,SSM,2008-11-17,,Active,Industrials
123,HASTC,TBX,2008-11-18,,Active,Real Estate and Construction
124,HASTC,THB,2008-11-19,,Active,Consumer Goods
125,HASTC,L61,2008-11-19,,Active,Real Estate and Construction
126,HASTC,MKV,2008-11-21,,Active,Agriculture
127,HASTC,TDN,2008-11-21,,Active,Energy
128,HASTC,TCS,2008-11-21,2020-08-03,Delisted,Energy
129,HASTC,DHT,2008-12-03,,Active,Healthcare
130,HASTC,VGS,2008-12-04,,Active,Materials
131,HASTC,BST,2008-12-18,,Active,Service
132,HASTC,AGC,2009-01-05,2012-07-16,Delisted,Agriculture
133,HASTC,PVG,2009-01-07,,Active,Energy
134,HASTC,SEB,2009-01-14,,Active,Energy
135,HASTC,QTC,2009-01-16,,Active,Real Estate and Construction
136,HASTC,VCC,2009-02-05,,Active,Real Estate and Construction
137,HASTC,VHL,2009-02-12,,Active,Real Estate and Construction
138,HASTC,QST,2009-02-16,,Active,Service
139,HASTC,HLC,2009-03-06,,Active,Energy
140,HASTC,SKS,2009-04-17,2014-12-01,Delisted,Real Estate and Construction
141,HASTC,SHB,2009-04-20,,Active,Finance
142,HASTC,ICG,2009-04-21,,Active,Real Estate and Construction
143,HASTC,HVT,2009-05-08,,Active,Materials
144,HASTC,VC1,2009-05-14,,Active,Real Estate and Construction
145,HASTC,DZM,2009-06-11,,Active,Industrials
146,HASTC,ECI,2009-06-16,,Active,Service
147,HASTC,PPP,2009-06-25,,Active,Healthcare
148,HASTC,SHS,2009-06-25,,Active,Finance
149,HASTC,APS,2009-06-25,,Active,Finance
150,HASTC,SME,2009-06-25,2012-10-19,Delisted,Finance
151,HASTC,TAS,2009-06-25,2013-08-13,Delisted,Finance
152,HASTC,S74,2009-07-02,,Active,Real Estate and Construction
153,HASTC,HOM,2009-07-09,,Active,Real Estate and Construction
154,HASTC,MDC,2009-07-23,,Active,Energy
155,HASTC,NBP,2009-08-06,,Active,Energy
156,HASTC,CTM,2009-08-07,2015-06-11,Delisted,Real Estate and Construction
