,Exchange,Symbol,IPO_Date,Delisting_Date,Status,Sector
0,HOSE,SAM,2000-07-28,,Active,Real Estate and Construction
1,HOSE,REE,2000-07-28,,Active,Real Estate and Construction
2,HOSE,TMS,2000-08-04,,Active,Industrials
3,HOSE,HAP,2000-08-04,,Active,Materials
4,HOSE,LAF,2000-12-15,,Active,
5,HOSE,BBC,2001-12-19,,Active,Consumer Goods
6,HOSE,TRI,2001-12-28,2012-04-09,Delisted,Consumer Goods
7,HOSE,GIL,2002-01-02,,Active,Consumer Goods
8,HOSE,GMD,2002-04-22,,Active,Industrials
9,HOSE,SAV,2002-05-09,,Active,Consumer Goods
10,HOSE,TS4,2002-08-08,,Active,
11,HOSE,HAS,2002-12-19,,Active,Real Estate and Construction
12,HOSE,DHA,2004-04-14,,Active,Real Estate and Construction
13,HOSE,SFC,2004-09-21,,Active,Energy
14,HOSE,VFMVF1,2004-11-08,2014-12-17,Delisted,Finance
15,HOSE,NKD,2004-12-15,2010-12-14,Delisted,Consumer Goods
16,HOSE,SSC,2005-03-01,,Active,
17,HOSE,MHC,2005-03-21,,Active,Industrials
18,HOSE,PNC,2005-07-11,,Active,Service
19,HOSE,VSH,2005-07-14,,Active,Energy
20,HOSE,KHP,2005-07-14,,Active,Energy
21,HOSE,TNA,2005-07-20,,Active,Service
22,HOSE,KDC,2005-12-12,,Active,Consumer Goods
23,HOSE,HTV,2006-01-05,,Active,Industrials
24,HOSE,VNM,2006-01-19,,Active,Consumer Goods
25,HOSE,TYA,2006-02-15,,Active,Industrials
26,HOSE,CII,2006-05-18,,Active,Industrials
27,HOSE,PPC,2006-05-19,,Active,Energy
28,HOSE,SJS,2006-07-06,,Active,Real Estate and Construction
29,HOSE,BMP,2006-07-11,,Active,Real Estate and Construction
30,HOSE,STB,2006-07-12,,Active,Finance
31,HOSE,FPC,2006-07-25,2011-08-10,Delisted,Real Estate and Construction
32,HOSE,COM,2006-08-07,,Active,Energy
33,HOSE,TBC,2006-08-29,,Active,Energy
34,HOSE,SMC,2006-10-30,,Active,Real Estate and Construction
35,HOSE,ITA,2006-11-15,,Active,Real Estate and Construction
36,HOSE,CLC,2006-11-16,,Active,Materials
37,HOSE,ACB,2006-11-21,,Active,Finance
38,HOSE,PGC,2006-11-24,,Active,Energy
39,HOSE,BMI,2006-11-28,,Active,Finance
40,HOSE,PRUBF1,2006-12-04,2014-12-17,Delisted,Finance
41,HOSE,IMP,2006-12-04,,Active,Healthcare
42,HOSE,PVD,2006-12-05,,Active,Energy
43,HOSE,RAL,2006-12-06,,Active,Consumer Goods
44,HOSE,TCT,2006-12-06,,Active,Service
45,HOSE,FMC,2006-12-07,,Active,Agriculture
46,HOSE,MCV,2006-12-11,2012-03-20,Delisted,Real Estate and Construction
47,HOSE,PAC,2006-12-12,,Active,Industrials
48,HOSE,FPT,2006-12-13,,Active,Technology
49,HOSE,TDH,2006-12-14,,Active,Real Estate and Construction
50,HOSE,SSI,2006-12-15,,Active,Finance
51,HOSE,BHS,2006-12-20,2017-08-29,Delisted,Agriculture
52,HOSE,LBM,2006-12-20,,Active,Real Estate and Construction
53,HOSE,HMC,2006-12-21,,Active,Real Estate and Construction
54,HOSE,NSC,2006-12-21,,Active,
55,HOSE,VIP,2006-12-21,,Active,Energy
56,HOSE,DHG,2006-12-21,,Active,Healthcare
57,HOSE,SVC,2006-12-21,,Active,Service
58,HOSE,GMC,2006-12-22,,Active,Consumer Goods
59,HOSE,DTT,2006-12-22,,Active,Materials
60,HOSE,NAV,2006-12-22,,Active,Real Estate and Construction
61,HOSE,PAN,2006-12-22,,Active,
62,HOSE,VIS,2006-12-25,,Active,Materials
63,HOSE,DMC,2006-12-25,,Active,Healthcare
64,HOSE,SJD,2006-12-25,,Active,Energy
65,HOSE,ABT,2006-12-25,,Active,Agriculture
66,HOSE,SCD,2006-12-25,,Active,Consumer Goods
67,HOSE,VID,2006-12-25,,Active,Materials
68,HOSE,PTC,2006-12-25,,Active,Industrials
69,HOSE,HRC,2006-12-26,,Active,
70,HOSE,HAX,2006-12-26,,Active,Service
71,HOSE,TAC,2006-12-26,,Active,Consumer Goods
72,HOSE,LGC,2006-12-27,,Active,Industrials
73,HOSE,VTB,2006-12-27,,Active,Consumer Goods
74,HOSE,HAI,2006-12-27,,Active,
75,HOSE,HBC,2006-12-27,,Active,Real Estate and Construction
76,HOSE,BMC,2006-12-28,,Active,Materials
77,HOSE,PJT,2006-12-28,,Active,Industrials
78,HOSE,MCP,2006-12-28,,Active,Materials
79,HOSE,SFI,2006-12-29,,Active,Industrials
80,HOSE,TCR,2006-12-29,,Active,Real Estate and Construction
81,HOSE,DRC,2006-12-29,,Active,Industrials
82,HOSE,GTA,2007-07-23,,Active,Consumer Goods
83,HOSE,TRC,2007-07-24,,Active,
84,HOSE,RIC,2007-07-31,,Active,Service
85,HOSE,VNE,2007-08-09,,Active,Real Estate and Construction
86,HOSE,TNC,2007-08-22,,Active,
87,HOSE,ACL,2007-09-05,,Active,Agriculture
88,HOSE,PET,2007-09-12,,Active,Service
89,HOSE,VIC,2007-09-19,,Active,Real Estate and Construction
90,HOSE,TSC,2007-10-04,,Active,
91,HOSE,HDC,2007-10-08,,Active,Real Estate and Construction
92,HOSE,VTO,2007-10-09,,Active,Energy
93,HOSE,TCM,2007-10-15,,Active,Consumer Goods
94,HOSE,SC5,2007-10-18,,Active,Real Estate and Construction
