Time,"Economic Activity, Industrial Production, Energy, Electricity Production, Index","Economic Activity, Industrial Production, Index","Economic Activity, Industrial Production, Manufacturing, Index","Economic Activity, Industrial Production, Mining, Index","Exchange Rates, Domestic Currency per SDR, Period Average","Exchange Rates, Domestic Currency per U.S. Dollar, Period Average, Rate","Financial, Interest Rates, Deposit, Percent per annum","Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum","Prices, Consumer Price Index, All items, Index"
1/1/00,,,,,"19,241.56","14,041.00",3.6,6,48.57
2/1/00,,,,,"18,905.93","14,058.00",3.6,6,49.33
3/1/00,,,,,"18,881.99","14,061.00",3.6,6,48.77
4/1/00,,,,,"18,832.44","14,063.00",3.6,6,48.41
5/1/00,,,,,"18,452.45","14,077.00",3.6,6,48.13
6/1/00,,,,,"18,741.77","14,085.00",3.54,5.4,47.88
7/1/00,,,,,"18,649.11","14,091.00",3.54,5.4,47.6
8/1/00,,,,,"18,455.78","14,106.00",3.54,5.4,47.64
9/1/00,,,,,"18,326.83","14,162.00",3.54,5.4,47.56
10/1/00,,,,,"18,404.66","14,306.00",3.72,5.4,47.6
11/1/00,,,,,"18,538.39","14,452.00",3.72,6,48.05
12/1/00,,,,,"18,783.00","14,511.00",4.24,6,48.09
1/1/01,,,,,"18,923.73","14,534.00",5.4,6,48.21
2/1/01,,,,,"18,829.95","14,557.00",5.16,6,48.41
3/1/01,,,,,"18,624.98","14,552.00",5.16,6,48.05
4/1/01,,,,,"18,453.01","14,557.00",5.4,5.4,47.8
5/1/01,,,,,"18,432.74","14,604.00",4.68,5.4,47.72
6/1/01,,,,,"18,465.43","14,769.00",4.8,5.4,47.72
7/1/01,,,,,"18,639.81","14,897.00",4.8,4.8,47.64
8/1/01,,,,,"19,097.41","14,979.00",5.4,4.8,47.64
9/1/01,,,,,"18,130.26","14,099.00",5.4,4.8,47.88
10/1/01,,,,,"19,210.40","15,022.00",5.9,4.8,47.8
11/1/01,,,,,"19,104.01","15,063.00",5.85,4.8,47.92
12/1/01,,,,,"19,029.05","15,069.00",5.7,4.8,48.33
1/1/02,,,,,"18,917.88","15,101.00",5.85,4.8,48.83
2/1/02,,,,,"18,857.43","15,151.00",5.85,4.8,49.91
3/1/02,,,,,"19,053.82","15,242.00",6,4.8,49.51
4/1/02,,,,,"19,119.35","15,214.00",6.39,4.8,49.51
5/1/02,,,,,"19,467.22","15,243.00",6.39,4.8,49.65
6/1/02,,,,,"19,903.85","15,303.00",6.39,4.8,49.7
7/1/02,,,,,"20,358.12","15,303.00",6.54,4.8,49.65
8/1/02,,,,,"20,250.10","15,329.00",6.78,4.8,49.7
9/1/02,,,,,"20,273.04","15,339.00",6.78,4.8,49.8
10/1/02,,,,,"20,235.12","15,357.00",6.78,4.8,49.95
11/1/02,,,,,"20,466.80","15,376.00",6.78,4.8,50.1
12/1/02,,,,,"20,631.03","15,396.00",6.84,4.8,50.25
1/1/03,,,,,"21,071.43","15,433.00",6.78,4.8,50.71
