Time,"Economic Activity, Industrial Production, Index","Exchange Rates, Domestic Currency per SDR, Period Average","Exchange Rates, Domestic Currency per U.S. Dollar, Period Average, Rate","Financial, Interest Rates, Deposit, Percent per annum","Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum","Prices, Consumer Price Index, All items, Index"
1/1/2000,,"19,241.56","14,041.00",3.6,6,48.57
2/1/2000,,"18,905.93","14,058.00",3.6,6,49.33
3/1/2000,,"18,881.99","14,061.00",3.6,6,48.77
4/1/2000,,"18,832.44","14,063.00",3.6,6,48.41
5/1/2000,,"18,452.45","14,077.00",3.6,6,48.13
6/1/2000,,"18,741.77","14,085.00",3.54,5.4,47.88
7/1/2000,,"18,649.11","14,091.00",3.54,5.4,47.6
8/1/2000,,"18,455.78","14,106.00",3.54,5.4,47.64
9/1/2000,,"18,326.83","14,162.00",3.54,5.4,47.56
10/1/2000,,"18,404.66","14,306.00",3.72,5.4,47.6
11/1/2000,,"18,538.39","14,452.00",3.72,6,48.05
12/1/2000,,"18,783.00","14,511.00",4.24,6,48.09
1/1/2001,,"18,923.73","14,534.00",5.4,6,48.21
2/1/2001,,"18,829.95","14,557.00",5.16,6,48.41
3/1/2001,,"18,624.98","14,552.00",5.16,6,48.05
4/1/2001,,"18,453.01","14,557.00",5.4,5.4,47.8
5/1/2001,,"18,432.74","14,604.00",4.68,5.4,47.72
6/1/2001,,"18,465.43","14,769.00",4.8,5.4,47.72
7/1/2001,,"18,639.81","14,897.00",4.8,4.8,47.64
8/1/2001,,"19,097.41","14,979.00",5.4,4.8,47.64
9/1/2001,,"18,130.26","14,099.00",5.4,4.8,47.88
10/1/2001,,"19,210.40","15,022.00",5.9,4.8,47.8
11/1/2001,,"19,104.01","15,063.00",5.85,4.8,47.92
12/1/2001,,"19,029.05","15,069.00",5.7,4.8,48.33
1/1/2002,,"18,917.88","15,101.00",5.85,4.8,48.83
2/1/2002,,"18,857.43","15,151.00",5.85,4.8,49.91
3/1/2002,,"19,053.82","15,242.00",6,4.8,49.51
4/1/2002,,"19,119.35","15,214.00",6.39,4.8,49.51
5/1/2002,,"19,467.22","15,243.00",6.39,4.8,49.65
6/1/2002,,"19,903.85","15,303.00",6.39,4.8,49.7
7/1/2002,,"20,358.12","15,303.00",6.54,4.8,49.65
8/1/2002,,"20,250.10","15,329.00",6.78,4.8,49.7
9/1/2002,,"20,273.04","15,339.00",6.78,4.8,49.8
10/1/2002,,"20,235.12","15,357.00",6.78,4.8,49.95
11/1/2002,,"20,466.80","15,376.00",6.78,4.8,50.1
12/1/2002,,"20,631.03","15,396.00",6.84,4.8,50.25
1/1/2003,,"21,071.43","15,433.00",6.78,4.8,50.71
2/1/2003,,"21,129.55","15,418.00",6.84,4.8,51.82
3/1/2003,,"21,135.66","15,427.00",6.99,6.6,51.51
4/1/2003,,"21,154.96","15,452.00",6.99,6.6,51.51
5/1/2003,,"21,796.91","15,478.00",6.99,6.6,51.46
6/1/2003,,"21,909.79","15,486.00",7.14,6,51.3
7/1/2003,,"21,687.87","15,510.00",7.14,6,51.15
8/1/2003,,"21,492.96","15,519.00",6.56,5,51.1
9/1/2003,,"21,694.10","15,537.00",6.12,5,51.15
10/1/2003,,"22,300.24","15,573.00",5.97,5,51.05
11/1/2003,,"22,424.96","15,639.00",5.97,5,51.35
12/1/2003,,"22,955.00","15,643.00",5.97,5,51.77
1/1/2004,,"23,365.16","15,670.00",5.97,5,52.33
2/1/2004,,"23,536.20","15,728.00",5.97,5,53.9
3/1/2004,,"23,205.76","15,754.00",5.97,5,54.34
4/1/2004,,"22,975.35","15,727.00",5.97,5,54.61
5/1/2004,,"22,850.30","15,746.00",5.97,5,55.1
6/1/2004,,"23,057.53","15,732.00",5.97,5,55.54
7/1/2004,,"23,173.38","15,735.00",5.97,5,55.82
8/1/2004,,"23,090.59","15,762.00",6.21,5,56.15
9/1/2004,,"23,073.16","15,755.00",6.48,5,56.32
10/1/2004,,"23,309.90","15,755.00",6.51,5,56.32
11/1/2004,,"23,935.75","15,812.00",,,56.43
12/1/2004,,"24,300.68","15,776.00",6.54,5,56.77
1/1/2005,,"24,108.18","15,817.00",6.54,5,57.4
2/1/2005,,"23,967.67","15,794.00",6.54,5,58.83
3/1/2005,,"24,122.20","15,815.00",6.54,5,58.89
4/1/2005,,"23,890.50","15,817.00",7.2,5,59.24
5/1/2005,,"23,722.94","15,844.00",7.2,5,59.54
6/1/2005,,"23,279.80","15,865.00",7.2,5,59.78
7/1/2005,,"23,009.58","15,872.00",7.2,5,60.02
8/1/2005,,"23,290.10","15,877.00",7.2,5,60.26
9/1/2005,,"23,287.58","15,885.00",7.53,5,60.74
10/1/2005,,"22,989.07","15,905.00",7.53,5,60.98
11/1/2005,,"22,702.97","15,908.00",7.53,5,61.23
12/1/2005,,"22,767.63","15,908.00",7.53,5,61.72
1/1/2006,,"23,041.08","15,924.00",7.53,5,62.46
2/1/2006,,"22,860.62","15,924.00",7.65,5,63.77
3/1/2006,,"22,900.91","15,914.00",7.65,5,63.45
4/1/2006,,"23,117.70","15,930.00",7.65,5,63.58
5/1/2006,,"23,780.19","15,973.00",7.53,5,63.98
6/1/2006,,"23,631.75","15,989.00",7.65,5,64.23
7/1/2006,,"23,638.45","15,997.00",7.65,5,64.48
8/1/2006,,"23,808.58","16,011.00",7.65,5,64.72
9/1/2006,,"23,761.89","16,038.00",7.65,5,64.92
10/1/2006,,"23,671.30","16,065.00",7.65,5,65.07
11/1/2006,,"23,973.30","16,093.00",7.65,5,65.47
12/1/2006,,"24,236.06","16,073.00",7.65,6.5,65.81
1/1/2007,,"24,006.44","16,061.00",7.68,6.5,66.5
2/1/2007,,"23,945.14","15,994.00",7.68,6.5,67.94
3/1/2007,,"24,138.96","16,012.00",7.65,6.5,67.79
4/1/2007,,"24,376.26","16,039.00",7.65,6.5,68.13
5/1/2007,,"24,374.56","16,062.00",7.65,6.5,68.65
6/1/2007,,"24,345.90","16,109.00",7.44,6.5,69.24
7/1/2007,,"24,678.36","16,139.00",7.44,6.5,69.89
8/1/2007,,"24,837.69","16,240.00",7.44,6.5,70.27
9/1/2007,,"25,067.31","16,238.50",7.44,6.5,70.63
10/1/2007,,"25,104.07","16,109.00",7.44,6.5,71.15
11/1/2007,,"25,606.56","16,141.00",7.2,6.5,72.03
12/1/2007,,"25,386.82","16,117.00",7.2,6.5,74.12
1/1/2008,84.25,"25,507.94","16,104.00",7.2,6.5,75.89
2/1/2008,70.02,"25,479.76","16,070.00",8.97,7.5,78.59
3/1/2008,83.04,"26,121.80","16,004.00",11.19,7.5,80.94
4/1/2008,84.39,"26,118.57","15,960.00",11.52,7.5,82.72
5/1/2008,86.77,"26,016.25","16,022.00",13.25,7.5,85.95
6/1/2008,85.42,"26,466.88","16,347.00",16.64,15,87.79
7/1/2008,86.35,"26,920.53","16,507.00",16.89,15,88.78
8/1/2008,84.97,"26,142.32","16,495.00",17.16,15,90.17
9/1/2008,83.61,"25,679.67","16,508.00",16.92,15,90.33
10/1/2008,83.24,"25,019.05","16,517.00",15.24,14,90.16
11/1/2008,89.26,"24,459.00","16,493.00",10.02,12.5,89.47
12/1/2008,90.84,"25,247.65","16,600.00",7.77,10.25,88.87
1/1/2009,76.2,"25,624.08","16,973.00",6.99,8,89.15
2/1/2009,78.99,"25,220.32","16,976.00",6.54,8,90.19
3/1/2009,88.06,"25,173.31","16,973.00",7.11,8,90.04
4/1/2009,87.82,"25,273.08","16,938.00",7.17,7,90.36
5/1/2009,89.2,"25,758.16","16,938.00",7.32,7,90.75
6/1/2009,90.68,"26,184.84","16,949.00",7.5,7,91.25
7/1/2009,93.31,"26,322.07","16,961.00",7.62,7,91.73
8/1/2009,93.58,"26,473.73","16,968.00",7.95,7,91.95
9/1/2009,94.3,"26,797.82","16,984.00",8.13,7,92.52
10/1/2009,94.86,"27,025.99","17,002.00",8.4,7,92.86
11/1/2009,96.69,"27,481.23","17,177.00",9.96,7,93.37
12/1/2009,99.87,"28,398.34","17,942.00",10.23,8,94.66
