Sector,Symbol,Name,Price,Exchange
Agriculture,AGC,Công ty Cổ phần Cà phê An Giang,0.9,HNX
Agriculture,BLF,Công ty Cổ phần Thủy sản Bạc Liêu,3.2,HNX
Agriculture,CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,62.8,HNX
Agriculture,CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,18,HNX
Agriculture,CTP,Công ty Cổ phần Minh Khang Capital Trading Public,6,HNX
Agriculture,FTV,Công ty Cổ phần Công nghiệp Ngũ Kim Fortress,,HNX
Agriculture,GFC,Công ty Cổ phần Thủy sản Gentraco,6.2,HNX
Agriculture,HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,0.8,HNX
Agriculture,HKT,Công ty Cổ phần Đầu tư EGO Việt Nam,7.5,HNX
Agriculture,KHS,Công ty Cổ phần Kiên Hùng,14.6,HNX
Agriculture,KTS,Công ty cổ phần Đường Kon Tum,19.5,HNX
Agriculture,LAS,Công ty cổ phần Supe Phốt phát và Hóa chất Lâm Thao,10.9,HNX
Agriculture,MKV,Công ty Cổ phần Dược Thú y Cai Lậy,34,HNX
Agriculture,NFC,Công ty Cổ phần Phân lân Ninh Bình,7.9,HNX
Agriculture,NGC,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,4.3,HNX
Agriculture,PCE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,11,HNX
Agriculture,PMB,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,8.2,HNX
Agriculture,PSE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,8.2,HNX
Agriculture,PSW,Công ty cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,9.6,HNX
Agriculture,SFN,Công ty Cổ phần Dệt lưới Sài Gòn,22.1,HNX
Agriculture,SJ1,Công ty cổ phần Nông nghiệp Hùng Hậu,17.2,HNX
Agriculture,SLS,Công ty cổ phần Mía đường Sơn La,125.6,HNX
Agriculture,TAR,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An,23.7,HNX
Agriculture,THV,Công ty Cổ phần Tập đoàn Thái Hòa Việt Nam,0.4,HNX
Communication,GLT,Công ty cổ phần Kỹ thuật điện Toàn Cầu,20.5,HNX
Communication,NIS,Công ty Cổ phần Dịch vụ Hạ tầng mạng,9.9,HNX
Consumer Goods,ATS,Công ty cổ phần Suất ăn công nghiệp Atesco,34,HNX
Consumer Goods,BCF,Công ty Cổ phần Thực phẩm Bích Chi,40.9,HNX
Consumer Goods,CAN,Công ty Cổ phần Đồ hộp Hạ Long,25.7,HNX
Consumer Goods,HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,19.4,HNX
Consumer Goods,HAT,Công ty Cổ phần Thương mại Bia Hà Nội,22.5,HNX
Consumer Goods,HHC,Công ty Cổ phần Bánh kẹo Hải Hà,99.9,HNX
Consumer Goods,HNM,Công ty Cổ phần Sữa Hà Nội,,HNX
Consumer Goods,KSD,Công ty cổ phần Đầu tư DNA,5,HNX
Consumer Goods,MHL,Công ty Cổ phần Minh Hữu Liên,4,HNX
Consumer Goods,MPT,Công ty cổ phần Tập đoàn Trường Tiền,2.8,HNX
Consumer Goods,NAG,Công ty cổ phần Tập đoàn Nagakawa,6.6,HNX
Consumer Goods,NET,Công ty Cổ phần Bột giặt Net,59.9,HNX
Consumer Goods,NST,Công ty Cổ phần Ngân Sơn,8.8,HNX
Consumer Goods,SAF,Công ty Cổ phần Lương thực Thực phẩm Safoco,54.5,HNX
Consumer Goods,SGC,Công ty Cổ phần Xuất nhập khẩu Sa Giang,92,HNX
Consumer Goods,TDT,Công ty cổ phần Đầu tư và Phát triển TDT,15,HNX
