Date,Symbol,Open,High,Low,Close,Matched_Value,Matched_Volume,Put_through_Volume,Put_through_Value,Percentage_Change
2000-07-28,VNINDEX,100.0,100.0,100.0,100.0,70400.0,4200,0,0.0,
2000-07-31,VNINDEX,101.55,101.55,101.55,101.55,176890.0,10300,0,0.0,0.01550000000000007
2000-08-02,VNINDEX,103.38,103.38,103.38,103.38,5160.0,300,0,0.0,0.018020679468242262
2000-08-04,VNINDEX,105.2,105.2,105.2,105.2,62600.0,3700,0,0.0,0.01760495260205075
2000-08-07,VNINDEX,106.92,106.92,106.92,106.92,229190.0,13100,0,0.0,0.0163498098859316
2000-08-09,VNINDEX,108.64,108.64,108.64,108.64,288330.0,15900,0,0.0,0.01608679386457168
2000-08-11,VNINDEX,110.36,110.36,110.36,110.36,240280.0,13600,0,0.0,0.01583210603829155
2000-08-14,VNINDEX,112.08,112.08,112.08,112.08,212580.0,11700,0,0.0,0.015585357013410572
2000-08-16,VNINDEX,113.8,113.8,113.8,113.8,423830.0,23000,0,0.0,0.01534618129907206
2000-08-18,VNINDEX,115.52,115.52,115.52,115.52,196570.0,10300,0,0.0,0.015114235500878648
2000-08-21,VNINDEX,117.24,117.24,117.24,117.24,695560.0,35500,0,0.0,0.014889196675900163
2000-08-23,VNINDEX,118.96,118.96,118.96,118.96,2208700.0,111400,0,0.0,0.014670760832480312
2000-08-25,VNINDEX,118.84,118.84,118.84,118.84,1919470.0,95200,0,0.0,-0.0010087424344316087
2000-08-28,VNINDEX,117.0,117.0,117.0,117.0,1915040.0,97900,0,0.0,-0.01548300235610911
2000-08-30,VNINDEX,115.15,115.15,115.15,115.15,2478800.0,126500,0,0.0,-0.015811965811965756
2000-09-01,VNINDEX,113.37,113.37,113.37,113.37,1840190.0,96600,0,0.0,-0.015458098132870135
2000-09-06,VNINDEX,112.51,112.51,112.51,112.51,1176380.0,60900,0,0.0,-0.007585781070829967
2000-09-08,VNINDEX,112.39,112.39,112.39,112.39,895570.0,49500,0,0.0,-0.0010665718602791419
2000-09-11,VNINDEX,114.11,114.11,114.11,114.11,566020.0,31300,0,0.0,0.01530385265593015
2000-09-13,VNINDEX,116.08,116.08,116.08,116.08,369140.0,18400,0,0.0,0.017264043466830303
2000-09-15,VNINDEX,118.04,118.04,118.04,118.04,867060.0,45900,0,0.0,0.016884906960716872
2000-09-18,VNINDEX,118.19,118.19,118.19,118.19,1328660.0,64600,0,0.0,0.001270755676041846
2000-09-20,VNINDEX,118.21,118.21,118.21,118.21,845360.0,41600,0,0.0,0.00016921905406541704
2000-09-22,VNINDEX,118.76,118.76,118.76,118.76,1377860.0,66900,0,0.0,0.0046527366551054605
2000-09-25,VNINDEX,118.98,118.98,118.98,118.98,1165230.0,56600,0,0.0,0.0018524755810036542
2000-09-27,VNINDEX,119.69,119.69,119.69,119.69,1140040.0,56600,0,0.0,0.005967389477222973
2000-09-29,VNINDEX,120.71,120.71,120.71,120.71,1074420.0,52800,0,0.0,0.008522015205948641
2000-10-02,VNINDEX,120.92,120.92,120.92,120.92,980850.0,48600,0,0.0,0.001739706735150337
2000-10-04,VNINDEX,121.14,121.14,121.14,121.14,1197520.0,58400,0,0.0,0.0018193847171683597
