Date,Close_HOSE,Close_HNX
2005-07-14,248.67,100.0
2005-07-18,248.79,99.48
2005-07-20,248.0,95.57
2005-07-22,245.77,97.46
2005-07-25,246.31,96.51
2005-07-27,244.24,98.0
2005-07-29,245.53,99.2
2005-08-01,245.48,108.17
2005-08-03,247.96,101.24
2005-08-05,250.93,102.63
2005-08-08,248.87,102.35
2005-08-10,249.04,99.51
2005-08-12,249.23,99.56
2005-08-15,248.24,98.88
2005-08-17,247.33,102.54
2005-08-19,247.84,101.67
2005-08-22,247.91,98.39
2005-08-24,248.41,101.83
2005-08-26,249.74,100.61
2005-08-29,253.7,99.91
2005-08-31,254.5,98.6
2005-09-05,255.55,97.97
2005-09-07,259.57,99.24
2005-09-09,259.96,100.5
2005-09-12,262.18,109.04
2005-09-14,264.03,100.34
2005-09-16,268.08,100.3
2005-09-19,274.81,101.63
2005-09-21,276.61,101.44
2005-09-23,278.35,100.02
2005-09-26,277.54,99.86
2005-09-28,275.63,98.44
2005-09-30,289.33,99.06
2005-10-03,286.0,90.39
2005-10-05,286.34,98.22
2005-10-07,291.3,99.5
2005-10-10,292.11,98.33
2005-10-12,292.35,96.92
2005-10-14,304.1,97.95
2005-10-17,310.2,99.26
2005-10-19,306.46,98.89
2005-10-21,306.72,98.73
2005-10-24,306.9,98.73
2005-10-26,300.53,97.05
2005-10-28,305.38,98.24
2005-10-31,307.4,98.88
2005-11-02,315.56,99.01
2005-11-04,321.15,98.43
2005-11-07,322.59,98.46
2005-11-09,320.56,97.66
2005-11-11,317.73,97.66
2005-11-14,317.83,97.72
2005-11-16,315.9,97.73
2005-11-18,312.5,96.45
2005-11-21,311.8,96.42
2005-11-23,305.5,96.42
2005-11-25,309.47,96.34
2005-11-28,308.18,96.32
2005-11-30,311.33,93.14
2005-12-02,312.43,92.98
2005-12-05,312.86,92.35
2005-12-07,312.31,92.35
2005-12-09,315.79,91.4
2005-12-12,316.88,91.24
2005-12-14,314.94,90.34
2005-12-16,314.49,90.25
2005-12-19,311.6,90.08
2005-12-23,309.14,95.46
2005-12-26,309.26,91.5
2005-12-28,307.32,91.5
2005-12-30,307.5,96.24
2006-01-04,305.09,91.3
2006-01-06,307.5,90.9
2006-01-09,306.31,90.8
2006-01-11,304.96,90.8
2006-01-13,306.83,90.5
2006-01-18,310.38,93.7
2006-01-20,313.38,93.6
2006-01-23,308.31,93.6
2006-01-25,310.86,94.1
2006-02-06,313.14,95.7
2006-02-08,325.0,96.3
2006-02-10,325.17,97.5
2006-02-13,324.46,97.4
2006-02-15,327.67,98.3
2006-02-17,339.83,97.1
2006-02-20,353.96,97.2
2006-02-22,364.44,94.6
2006-02-24,373.5,94.4
2006-02-27,379.57,98.8
2006-03-01,401.9,105.2
2006-03-03,397.95,112.1
2006-03-06,409.76,122.6
2006-03-08,409.28,131.1
2006-03-10,414.36,133.2
2006-03-13,424.46,135.4
2006-03-15,427.59,140.0
2006-03-17,443.19,144.0
2006-03-20,453.48,145.8
2006-03-22,459.36,150.6
2006-03-24,456.06,155.9
2006-03-27,463.0,163.6
2006-03-29,474.79,169.8
2006-03-31,503.56,178.9
2006-04-03,523.32,188.0
2006-04-05,521.12,184.8
2006-04-07,544.71,179.7
2006-04-10,540.36,170.6
2006-04-14,555.15,171.9
2006-04-17,561.09,182.9
2006-04-19,571.16,193.8
2006-04-21,591.39,201.6
2006-04-24,615.14,207.5
2006-04-26,621.53,224.2
2006-04-28,595.48,222.8
2006-05-03,612.11,227.4
2006-05-05,593.89,233.9
2006-05-08,574.25,237.1
2006-05-10,520.82,218.4
2006-05-12,566.76,240.7
2006-05-15,590.25,250.5
2006-05-17,575.54,247.6
2006-05-19,562.33,238.1
2006-05-22,553.37,231.5
2006-05-24,559.55,224.8
2006-05-26,545.39,217.2
2006-05-29,537.3,201.4
2006-05-31,538.91,192.9
2006-06-01,535.18,205.1
2006-06-02,540.23,216.0
2006-06-05,551.26,219.2
2006-06-06,551.79,213.6
2006-06-07,544.55,208.5
2006-06-08,548.19,211.5
2006-06-09,548.79,207.9
2006-06-12,545.98,201.9
2006-06-13,543.9,200.2
2006-06-14,540.96,201.2
2006-06-15,537.48,201.8
2006-06-16,523.7,197.6
2006-06-19,519.47,195.8
2006-06-20,505.94,190.0
2006-06-21,487.86,177.7
2006-06-22,510.15,195.7
2006-06-23,510.62,189.8
2006-06-26,502.94,186.6
2006-06-27,501.56,185.4
2006-06-28,506.46,186.2
2006-06-29,512.29,186.7
2006-06-30,515.59,190.7
2006-07-03,507.31,188.0
2006-07-04,500.49,185.1
2006-07-05,499.8,183.7
2006-07-06,505.26,185.4
2006-07-07,508.31,185.9
2006-07-10,504.98,184.6
2006-07-11,504.0,183.7
2006-07-12,502.08,183.4
2006-07-13,509.15,182.9
2006-07-14,506.1,185.4
2006-07-17,494.31,184.8
2006-07-18,484.13,183.2
2006-07-19,466.19,179.3
2006-07-20,485.57,178.6
2006-07-21,472.86,179.5
2006-07-24,460.68,175.8
2006-07-25,439.66,165.3
2006-07-26,434.24,165.1
2006-07-27,441.27,173.2
2006-07-28,439.57,174.1
2006-07-31,422.41,170.1
2006-08-01,404.87,170.6
2006-08-02,399.8,168.7
2006-08-03,417.73,173.7
2006-08-04,435.5,178.7
2006-08-07,423.49,177.6
2006-08-08,433.4,177.7
2006-08-09,430.25,178.6
2006-08-10,432.4,178.2
2006-08-11,443.45,179.4
2006-08-14,464.55,188.7
2006-08-15,460.34,184.4
